,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
170,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:27.001949.cam1.A_collapsed_diff.fits,107.5,Open,IPOL_MBI,123.75,A,0.105,0.0962496,[ -6360. -13836.   -601.   2063.],[296.60452305 470.48355352 282.54916523 122.87016141],[18519.5 29734.  13709.   3536. ],[675.44042469 775.21456215 347.92711586 118.44747505]
3,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:11.272149.cam1.B_collapsed_diff.fits,107.5,Open,IPOL,123.75,B,0.105,0.0471744,1329.0,479.58597,32458.0,1048.1838
442,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:41.215862.cam1.B_collapsed_diff.fits,107.5,625-50,IPOL,123.75,B,0.105,0.0471744,-261.0,79.36062,1752.0,76.380066
1081,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:41.648274.cam1.B_collapsed_diff.fits,107.5,675-50,IPOL,123.75,B,0.105,0.0471744,-45.0,218.12419,7417.0,260.65546
192,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:42.364778.cam1.B_collapsed_diff.fits,107.5,725-50,IPOL,123.75,B,0.105,0.0471744,937.0,314.1764,14247.5,476.91602
72,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:42.437016.cam1.B_collapsed_diff.fits,107.5,750-50,IPOL,123.75,B,0.105,0.0471744,1217.0,286.5843,14649.0,501.84586
1090,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:34.533246.cam1.B_collapsed_diff.fits,107.5,775-50,IPOL,123.75,B,0.105,0.0471744,-259.0,146.54982,7075.0,286.97864
26,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:38:27.001949.cam1.B_collapsed_diff.fits,107.5,Open,IPOL_MBI,123.75,B,0.105,0.0962496,[ 4459.  5268. -3512. -2780.],[323.98609758 823.79666466 387.69119087 133.57015962],[19173. 28621. 13361.  3785.],[690.29499444 622.79597809 336.4385136  136.66959274]
340,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:19.817352.cam1.A_collapsed_diff.fits,70.0,Open,IPOL,135.0,A,0.105,0.0471744,5663.0,458.37823,33309.0,1129.1204
174,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:48.935221.cam1.A_collapsed_diff.fits,70.0,625-50,IPOL,135.0,A,0.105,0.0471744,494.0,107.56264,1753.0,81.07756
748,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:34.343020.cam1.A_collapsed_diff.fits,70.0,675-50,IPOL,135.0,A,0.105,0.0471744,-2554.0,170.96988,7473.0,287.02277
459,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:50.623467.cam1.A_collapsed_diff.fits,70.0,725-50,IPOL,135.0,A,0.105,0.0471744,-3502.0,336.78433,14232.0,513.9091
108,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:34.750398.cam1.A_collapsed_diff.fits,70.0,750-50,IPOL,135.0,A,0.105,0.0471744,-3233.0,309.89752,14541.0,516.8951
